# x	y	u	v	mask
226.0000	406.0000	  6.2255	-82.1013	  0.0000
238.0000	406.0000	     nan	     nan	  1.0000
250.0000	406.0000	  8.1245	-24.8991	  0.0000
262.0000	406.0000	     nan	     nan	  1.0000
274.0000	406.0000	-35.6542	-17.4125	  0.0000
286.0000	406.0000	 32.6062	-71.3230	  0.0000
298.0000	406.0000	 38.8481	 62.3253	  0.0000
310.0000	406.0000	-23.0460	 -5.4757	  0.0000
322.0000	406.0000	-18.6651	  2.9153	  0.0000
334.0000	406.0000	 -4.7593	 18.1755	  0.0000
346.0000	406.0000	-19.0993	 21.8435	  0.0000
358.0000	406.0000	 -8.8083	-15.2038	  0.0000
370.0000	406.0000	-23.8931	  3.8960	  0.0000
382.0000	406.0000	  6.1304	-62.2988	  0.0000
394.0000	406.0000	-18.6840	-71.2445	  0.0000
406.0000	406.0000	     nan	     nan	  1.0000
418.0000	406.0000	-19.6129	-28.0297	  0.0000
430.0000	406.0000	     nan	     nan	  1.0000
442.0000	406.0000	 -8.0563	-40.0000	  0.0000
454.0000	406.0000	     nan	     nan	  1.0000
466.0000	406.0000	 83.5826	-55.0000	  0.0000
478.0000	406.0000	     nan	     nan	  1.0000
490.0000	406.0000	-71.2451	-42.8403	  0.0000
502.0000	406.0000	 40.0000	 85.0000	  0.0000
 10.0000	394.0000	     nan	     nan	  1.0000
 22.0000	394.0000	     nan	     nan	  1.0000
 34.0000	394.0000	     nan	     nan	  1.0000
 46.0000	394.0000	     nan	     nan	  1.0000
 58.0000	394.0000	     nan	     nan	  1.0000
 70.0000	394.0000	     nan	     nan	  1.0000
 82.0000	394.0000	     nan	     nan	  1.0000
 94.0000	394.0000	     nan	     nan	  1.0000
106.0000	394.0000	     nan	     nan	  1.0000
118.0000	394.0000	     nan	     nan	  1.0000
130.0000	394.0000	     nan	     nan	  1.0000
142.0000	394.0000	     nan	     nan	  1.0000
154.0000	394.0000	-80.0000	 40.0000	  0.0000
166.0000	394.0000	     nan	     nan	  1.0000
178.0000	394.0000	     nan	     nan	  1.0000
190.0000	394.0000	     nan	     nan	  1.0000
202.0000	394.0000	     nan	     nan	  1.0000
214.0000	394.0000	-85.0000	 45.0000	  0.0000
226.0000	394.0000	  9.1631	 83.2205	  0.0000
238.0000	394.0000	 10.1529	 33.0906	  0.0000
250.0000	394.0000	 -2.7350	 -1.4998	  0.0000
262.0000	394.0000	     nan	     nan	  1.0000
274.0000	394.0000	-37.0172	 -7.0624	  0.0000
286.0000	394.0000	-24.3783	  2.6653	  0.0000
298.0000	394.0000	  9.4903	 -2.4073	  0.0000
310.0000	394.0000	     nan	     nan	  1.0000
322.0000	394.0000	     nan	     nan	  1.0000
334.0000	394.0000	-15.7472	 -1.0128	  0.0000
346.0000	394.0000	-10.7179	  7.1255	  0.0000
358.0000	394.0000	-19.4553	 14.3629	  0.0000
370.0000	394.0000	-21.6036	 -0.2436	  0.0000
382.0000	394.0000	  4.6787	 20.7744	  0.0000
394.0000	394.0000	-17.5140	 -0.2378	  0.0000
406.0000	394.0000	-20.1182	-12.8630	  0.0000
418.0000	394.0000	 -4.8218	-21.1532	  0.0000
430.0000	394.0000	 38.8382	-14.1081	  0.0000
442.0000	394.0000	 38.3897	 65.6999	  0.0000
454.0000	394.0000	     nan	     nan	  1.0000
466.0000	394.0000	     nan	     nan	  1.0000
478.0000	394.0000	-87.0826	 18.1018	  0.0000
490.0000	394.0000	     nan	     nan	  1.0000
502.0000	394.0000	 20.0000	 61.6667	  0.0000
 10.0000	382.0000	     nan	     nan	  1.0000
 22.0000	382.0000	 65.3654	-20.0000	  0.0000
 34.0000	382.0000	-30.0000	 10.0000	  0.0000
 46.0000	382.0000	-22.3042	 32.3042	  0.0000
 58.0000	382.0000	-80.0000	-55.0000	  0.0000
 70.0000	382.0000	     nan	     nan	  1.0000
 82.0000	382.0000	     nan	     nan	  1.0000
 94.0000	382.0000	     nan	     nan	  1.0000
106.0000	382.0000	     nan	     nan	  1.0000
118.0000	382.0000	 60.0000	 65.0000	  0.0000
130.0000	382.0000	     nan	     nan	  1.0000
142.0000	382.0000	     nan	     nan	  1.0000
154.0000	382.0000	     nan	     nan	  1.0000
166.0000	382.0000	     nan	     nan	  1.0000
178.0000	382.0000	 11.9598	 88.0402	  0.0000
190.0000	382.0000	     nan	     nan	  1.0000
202.0000	382.0000	 21.0734	-45.0000	  0.0000
214.0000	382.0000	-61.4813	-33.5047	  0.0000
226.0000	382.0000	 69.0923	 71.2912	  0.0000
238.0000	382.0000	 41.7036	 72.3481	  0.0000
250.0000	382.0000	 -5.9956	-14.4757	  0.0000
262.0000	382.0000	 20.2008	 46.1695	  0.0000
274.0000	382.0000	-31.3030	 18.9142	  0.0000
286.0000	382.0000	     nan	     nan	  1.0000
298.0000	382.0000	     nan	     nan	  1.0000
310.0000	382.0000	-19.9703	 18.0821	  0.0000
322.0000	382.0000	     nan	     nan	  1.0000
334.0000	382.0000	-21.8796	  5.7584	  0.0000
346.0000	382.0000	-11.1630	 16.5715	  0.0000
358.0000	382.0000	 -4.7704	  2.7312	  0.0000
370.0000	382.0000	-15.6209	  0.8789	  0.0000
382.0000	382.0000	-19.0197	-18.1305	  0.0000
394.0000	382.0000	-15.4005	 -2.6850	  0.0000
406.0000	382.0000	-15.5606	 -1.2182	  0.0000
418.0000	382.0000	-23.9444	 86.9495	  0.0000
430.0000	382.0000	 23.9209	-18.2425	  0.0000
442.0000	382.0000	     nan	     nan	  1.0000
454.0000	382.0000	 67.5962	-37.1987	  0.0000
466.0000	382.0000	     nan	     nan	  1.0000
478.0000	382.0000	-38.0402	 -1.9598	  0.0000
490.0000	382.0000	-50.0000	 22.9174	  0.0000
502.0000	382.0000	     nan	     nan	  1.0000
 10.0000	370.0000	     nan	     nan	  1.0000
 22.0000	370.0000	     nan	     nan	  1.0000
 34.0000	370.0000	     nan	     nan	  1.0000
 46.0000	370.0000	     nan	     nan	  1.0000
 58.0000	370.0000	     nan	     nan	  1.0000
 70.0000	370.0000	     nan	     nan	  1.0000
 82.0000	370.0000	-40.0000	 60.0000	  0.0000
 94.0000	370.0000	     nan	     nan	  1.0000
106.0000	370.0000	     nan	     nan	  1.0000
118.0000	370.0000	-65.0000	 47.6958	  0.0000
130.0000	370.0000	     nan	     nan	  1.0000
142.0000	370.0000	     nan	     nan	  1.0000
154.0000	370.0000	     nan	     nan	  1.0000
166.0000	370.0000	 70.8496	-25.0000	  0.0000
178.0000	370.0000	-80.9178	 32.7490	  0.0000
190.0000	370.0000	-38.4374	 92.4825	  0.0000
202.0000	370.0000	     nan	     nan	  1.0000
214.0000	370.0000	     nan	     nan	  1.0000
226.0000	370.0000	     nan	     nan	  1.0000
238.0000	370.0000	     nan	     nan	  1.0000
250.0000	370.0000	  7.3143	 18.8723	  0.0000
262.0000	370.0000	     nan	     nan	  1.0000
274.0000	370.0000	 -0.4518	-76.3886	  0.0000
286.0000	370.0000	     nan	     nan	  1.0000
298.0000	370.0000	     nan	     nan	  1.0000
310.0000	370.0000	 27.6850	-39.6588	  0.0000
322.0000	370.0000	-36.7708	 15.0540	  0.0000
334.0000	370.0000	     nan	     nan	  1.0000
346.0000	370.0000	 -2.7826	  9.3006	  0.0000
358.0000	370.0000	 -7.8914	 15.0971	  0.0000
370.0000	370.0000	 73.3663	-64.3182	  0.0000
